,0
236,1694.508
237,4299.425
238,1693.526
239,3302.436
240,4092.943
241,4006.623
242,1802.952
243,1809.319
244,3683.957
245,3605.501
246,4404.932
247,4615.721
248,3702.475
249,5695.577
250,3803.698
251,4310.33
252,3804.853
253,4108.613
254,5101.004
255,4987.39
256,1489.739
257,3793.279
258,5099.052
259,1981.718
260,4492.606
261,3291.292
262,3504.228
263,2187.768
264,3097.871
265,194.496
266,3706.199
267,3909.318
268,5412.344
269,3694.689
270,2603.93
271,4207.534
272,4666.452
273,3309.009
274,3800.801
275,4002.274
276,4407.418
277,49.181
278,4677.165
279,1913.923
280,3397.075
281,4696.228
282,3690.049
283,3897.301
284,3496.886
285,3695.015
286,4024.149
287,162.368
288,5601.223
289,88.992
290,510.568
291,4413.473
292,3700.111
293,5226.53
294,4502.12
295,3598.391
296,4597.24
297,3111.317
298,2197.228
299,3203.92
300,4802.617
301,2789.237
302,2587.875
303,689.249
304,3394.894
305,1473.632
306,3884.227
307,3505.298
308,4499.417
309,121.852
310,5106.663
311,803.167
312,3627.863
313,1101.01
314,3600.697
315,2496.582
316,1801.911
317,3689.815
318,4908.135
319,2405.538
320,3387.693
321,3389.852
322,3798.02
323,4017.599
324,1601.317
325,4126.06
326,3498.231
327,4493.49
328,306.127
329,3595.243
330,3307.134
331,3102.375
332,4711.542
333,5396.484
334,2704.289
335,1497.661
336,210.469
337,1595.644
338,3501.127
339,4290.008
340,206.518
341,4485.822
342,5781.487
343,3395.515
344,2100.531
345,5271.385
346,3501.851
347,3704.864
348,3207.749
349,4391.798
350,2798.015
351,4000.424
352,5599.446
353,4487.798
354,3111.311
355,200.549
356,3715.929
357,3997.502
358,3093.076
359,3883.135
360,1899.709
361,3796.028
362,4087.094
363,3493.272
364,4600.842
365,3182.364
366,1910.697
367,2201.426
368,4194.658
369,2616.226
370,3889.756
371,2514.999
372,3501.912
373,5288.158
374,277.426
375,3403.686
376,1713.22
377,1997.855
378,2804.287
379,5392.824
380,4091.0
381,3890.9
382,3312.026
383,2982.528
384,4973.051
385,3201.633
386,3702.533
387,4398.255
388,4589.933
389,4306.931
390,596.441
391,4501.693
392,3508.028
393,1809.615
394,4074.008
395,1989.438
396,2718.921
397,5094.506
398,3200.351
399,3492.802
400,3389.277
401,1619.218
402,2298.109
403,4097.107
404,2564.526
405,4261.358
406,3327.464
